band,ra,dec,ext_consdb,ext_dream,sig_dream,pixel_flag,has_flags,is_r0,clouds_cleaned,sigma_cleaned,visit_time,frame_time,dt_sec
i,2.496866520435413,-60.08894257606783,0.12606957311361455,0.0272369384765625,0.006942415609955788,0,False,True,0.0272369384765625,0.006942415609955788,2025-10-25 02:36:21.082000+00:00,2025-10-25 02:36:25.250000+00:00,4.168
i,356.94727765179596,-58.84953234889991,0.14530154384124572,0.01812744140625,0.003581214928999543,0,False,True,0.01812744140625,0.003581214928999543,2025-10-25 02:37:02.204000+00:00,2025-10-25 02:37:05.707000+00:00,3.503
i,351.78733005383117,-57.39459838959684,0.15089081062880894,0.012592315673828125,0.004153169225901365,0,False,True,0.012592315673828125,0.004153169225901365,2025-10-25 02:37:43.804000+00:00,2025-10-25 02:37:37.477000+00:00,6.327
i,347.02807415155826,-55.732173139570165,0.15941352999745106,0.0211639404296875,0.004478464834392071,0,False,True,0.0211639404296875,0.004478464834392071,2025-10-25 02:38:25.603000+00:00,2025-10-25 02:38:37.857000+00:00,12.254
i,351.400883705765,-60.21018563268485,0.14645871791002563,0.009077072143554688,0.005590770393610001,0,False,True,0.009077072143554688,0.005590770393610001,2025-10-25 02:39:49.177000+00:00,2025-10-25 02:39:38.236000+00:00,10.941
i,357.02687880241325,-61.689564637343324,0.1667167317360203,0.0092620849609375,0.004855921491980553,0,False,True,0.0092620849609375,0.004855921491980553,2025-10-25 02:40:30.178000+00:00,2025-10-25 02:40:48.634000+00:00,18.456
i,357.1862451039889,-64.52895965650933,0.14211812655586797,0.0208740234375,0.0018567061051726341,0,False,True,0.0208740234375,0.0018567061051726341,2025-10-25 02:41:10.296000+00:00,2025-10-25 02:41:18.971000+00:00,8.675
i,357.1862737000109,-64.52895831362004,0.15248326180923044,0.018865585327148438,0.0023614726960659027,0,False,True,0.018865585327148438,0.0023614726960659027,2025-10-25 02:41:47.736000+00:00,2025-10-25 02:41:49.281000+00:00,1.545
i,350.98308094245976,-63.02775549520688,0.1333767004210351,0.026775360107421875,0.0029954167548567057,0,False,True,0.026775360107421875,0.0029954167548567057,2025-10-25 02:42:28.343000+00:00,2025-10-25 02:42:19.529000+00:00,8.814
i,350.9830315710791,-63.027757183511234,0.14185188232026746,0.029293060302734375,0.0037283385172486305,0,False,True,0.029293060302734375,0.0037283385172486305,2025-10-25 02:43:05.890000+00:00,2025-10-25 02:43:19.929000+00:00,14.039
i,345.41335645017034,-61.30063529633781,0.16794436438547677,0.025821685791015625,0.004633496981114149,0,False,True,0.025821685791015625,0.004633496981114149,2025-10-25 02:43:46.856000+00:00,2025-10-25 02:44:00.219000+00:00,13.363
i,344.4043913507155,-64.0803378803411,0.1670414758706258,0.02075958251953125,0.003463396104052663,0,False,True,0.02075958251953125,0.003463396104052663,2025-10-25 02:44:27.053000+00:00,2025-10-25 02:44:30.388000+00:00,3.335
i,344.40447234948124,-64.08033823337861,0.13436083652747755,0.02541351318359375,0.004595951177179813,0,False,True,0.02541351318359375,0.004595951177179813,2025-10-25 02:45:04.711000+00:00,2025-10-25 02:45:00.655000+00:00,4.056
i,350.52243940247473,-65.84347743471452,0.14690942563553122,0.02564239501953125,0.005733774974942207,0,False,True,0.02564239501953125,0.005733774974942207,2025-10-25 02:45:45.104000+00:00,2025-10-25 02:45:30.867000+00:00,14.237
i,350.5225231349009,-65.84347719325501,0.18025646518293215,0.028667449951171875,0.006286046467721462,0,False,True,0.028667449951171875,0.006286046467721462,2025-10-25 02:46:22.830000+00:00,2025-10-25 02:46:31.270000+00:00,8.44
i,349.9983126770675,-68.65381354819405,0.15228700047139299,0.02452850341796875,0.01329348050057888,0,False,True,0.02452850341796875,0.01329348050057888,2025-10-25 02:47:02.845000+00:00,2025-10-25 02:47:11.469000+00:00,8.624
i,349.9983325497596,-68.65381334219926,0.13234623448025928,0.0146484375,0.011743759736418724,0,False,True,0.0146484375,0.011743759736418724,2025-10-25 02:47:40.567000+00:00,2025-10-25 02:47:41.652000+00:00,1.085
i,357.4506541910077,-67.36499073514878,0.14681947513449956,0.015262603759765625,0.008207953535020351,0,False,True,0.015262603759765625,0.008207953535020351,2025-10-25 02:48:19.521000+00:00,2025-10-25 02:48:11.901000+00:00,7.62
i,357.4505227106241,-67.36498873223968,0.196494586385505,0.00821685791015625,0.007708151824772358,0,False,True,0.00821685791015625,0.007708151824772358,2025-10-25 02:48:57.034000+00:00,2025-10-25 02:48:42.131000+00:00,14.903
