band,ra,dec,ext_consdb,err_consdb,ext_dream,sig_dream,visit_time,dt_sec
u,35.842013841552784,-26.132068656551077,0.11869906701596378,,0.04337501525878906,0.01217717956751585,2025-12-16 05:20:41.860000+00:00,4.869
r,37.72211726830142,-26.12938347812531,-0.001411987917553148,,0.054088592529296875,0.01324500422924757,2025-12-16 05:25:47.747000+00:00,12.187
r,37.72201216544009,-26.129382384912308,-0.00954641511961185,,0.029277801513671875,0.007612916640937328,2025-12-16 05:28:19.514000+00:00,8.354
u,39.6463976157302,-26.126392155859566,0.10030433603862576,,0.07681846618652344,0.007617900148034096,2025-12-16 05:33:25.203000+00:00,1.592
u,39.64626911787196,-26.126392095079787,0.10657000977791142,,0.06599044799804688,0.007068850100040436,2025-12-16 05:35:55.997000+00:00,8.955
r,41.538219993294184,-26.12344162045569,-0.015711873887553907,,0.07126235961914062,0.009248371236026287,2025-12-16 05:40:58.279000+00:00,0.67
r,41.538271859506594,-26.123441560863863,-0.012119072947257337,,0.06692123413085938,0.008534412831068039,2025-12-16 05:43:25.647000+00:00,3.735
u,43.43372931091485,-26.120313636595704,0.10590436571397888,,0.06571578979492188,0.014389685355126858,2025-12-16 05:50:57.972000+00:00,5.147
r,45.31415503835999,-26.117094954450177,-0.0019566139434523677,,0.054882049560546875,0.005531618371605873,2025-12-16 05:55:58.154000+00:00,12.862
r,45.31414224596835,-26.11709458164771,-0.01379214883723634,,0.03776741027832031,0.004836298059672117,2025-12-16 05:58:25.321000+00:00,1.7690000000000001
r,68.82937111161336,-30.79741086901851,-0.01070247671266955,,0.050914764404296875,0.001958365086466074,2025-12-16 05:59:29.333000+00:00,1.641
r,68.8294538812569,-30.79741038813233,-0.015761980489028105,,0.05323600769042969,0.005031077656894922,2025-12-16 06:00:05.677000+00:00,2.356
r,69.34410475329278,-30.796226660524532,-0.01578438264474613,,0.042003631591796875,0.004299613647162914,2025-12-16 06:01:32.420000+00:00,6.334
r,69.344279111879,-30.79625206303053,-0.01981004512817819,,0.0408782958984375,0.0021002276334911585,2025-12-16 06:02:08.849000+00:00,0.206
r,69.85780155093302,-30.79506594749701,-0.023501690214928317,,0.07072067260742188,0.007368743885308504,2025-12-16 06:03:35.294000+00:00,14.577
r,69.85757028647122,-30.795040985814797,-0.02429909796767049,,0.0537872314453125,0.00973186083137989,2025-12-16 06:04:11.658000+00:00,8.44
r,70.7178593969963,-30.79304436738493,-0.024516607016394687,,0.06319427490234375,0.008370387367904186,2025-12-16 06:08:56.478000+00:00,5.867
r,70.71792273269618,-30.793044425280122,-0.022235917878752787,,0.075347900390625,0.011375518515706062,2025-12-16 06:11:22.183000+00:00,8.907
u,72.49651560069452,-30.78890928629291,0.09774583586838403,,0.07434463500976562,0.00771698821336031,2025-12-16 06:15:56.604000+00:00,0.49
u,72.49634570184013,-30.788884936328696,0.09379909428667688,,0.077117919921875,0.009324608370661736,2025-12-16 06:18:29.181000+00:00,8.186
r,74.25967826211145,-30.78471647132299,-0.02164770504093383,,0.015935897827148438,0.008677386678755283,2025-12-16 06:23:00.125000+00:00,0.831
r,74.25985889308075,-30.784741651042598,-0.02219231050670345,,0.011989593505859375,0.00802505761384964,2025-12-16 06:25:27.676000+00:00,2.841
u,76.00054760810241,-30.780564454942578,0.10099663028534067,,0.08311843872070312,0.005265207961201668,2025-12-16 06:29:54.582000+00:00,1.796
u,76.00078989288703,-30.780563949573803,0.10413633385493881,,0.07847213745117188,0.0072877979837358,2025-12-16 06:32:21.082000+00:00,13.098
r,77.72825407157649,-30.776435567044988,-0.02089595781617959,,0.06276321411132812,0.012811345048248768,2025-12-16 06:36:47.717000+00:00,1.408
