night,strategy,strategy_label,N_visits,Total_photons,Open_shutter_frac,Median_m5,Mean_m5,Coadd_m5_proxy,Median_airmass,Mean_cloud_ext,Min_cloud_ext,Mean_slew_s,Total_slew_h,Total_exposure_h,Sky_frac_visited,fO_area_deg2,Delta_depth_vs_phot,Max_gap_min,Median_gap_min
2025-08-19,motion,Motion Track (Blue),977.0,55557558.444029234,0.7660579907710924,24.394735110870084,23.852935050258512,19.234642867896618,1.6102120313206476,0.5929309120585096,-0.384857177734375,5.378001723362804,1.4595299121459608,8.141666666666667,0.042073567708333336,1735.659258296693,-0.627064949741488,86.5766833384987,0.5033916654065251
2025-08-19,scheduler,Scheduler (Red),308.0,15772186.52867981,0.2847530548466185,23.791141160118784,22.577842552176097,16.516554364754803,1.2368109730374535,1.0562105366088168,-0.013971328735351562,3.244729151149181,0.27760460515387436,2.566666666666667,0.013753255208333334,567.3625041627488,-1.9021574478239032,147.33778333989903,0.5035000015050173
2025-08-20,absolute,Abs Min (Green),729.0,47036941.07661097,0.5362177451067134,24.445125971960323,24.06739478732136,19.53023478343473,1.57797338380595,0.3813858903962175,-0.4655265808105469,9.95972502845747,2.0168443182626374,6.075,0.03955078125,1631.5868462905082,-0.4126052126786419,272.85198334255256,0.5033999949228019
2025-08-20,motion,Motion Track (Blue),729.0,42981602.25852681,0.5362177451067134,24.33010088602702,23.99339575244891,19.52199126862042,1.3320827468458722,0.46831184810460097,-0.4655265808105469,4.797338430543321,0.9714610321850226,6.075,0.035725911458333336,1473.799640990809,-0.4866042475510888,272.85198334255256,0.5033999949228019
2025-08-20,scheduler,Scheduler (Red),409.0,21373747.32303177,0.336356189525283,23.553349240130075,22.555943878523557,15.911386210007448,1.1898028151216538,1.0026371814121051,-0.0147247314453125,3.8614313508888456,0.43870150625376053,3.408333333333333,0.021402994791666668,882.9369147621475,-1.9240561214764433,278.8713999988977,0.5033750011352822
2025-09-02,absolute,Abs Min (Green),1242.0,103868400.55381507,0.9410130776095091,24.547832450428242,24.51058992683867,20.524149761958416,1.471392915967765,-0.051587822769064554,-0.58367919921875,7.017316340072111,2.4209741373248783,10.35,0.052734375,2175.4491283873444,0.0305899268386689,1.1720499966759235,0.5037166632246226
2025-09-02,motion,Motion Track (Blue),1242.0,88953465.97459832,0.9410130776095091,24.398151872665352,24.345196237543952,20.391755808020612,1.469693845669907,0.11156870795901003,-0.5771255493164062,3.439006352322137,1.186457191551137,10.35,0.053955078125,2225.8067471000145,-0.1348037624560483,1.1720499966759235,0.5037166632246226
2025-09-02,scheduler,Scheduler (Red),245.0,17426885.305503234,0.22744901080675042,23.970751888359402,23.57150338758418,18.85748272950091,1.3436359754335565,0.1352944448691647,-0.5464630126953125,3.0010622027269513,0.20423895546336196,2.0416666666666665,0.010335286458333334,426.3611717672727,-0.9084966124158207,210.0605500023812,0.5036083323648199
2025-09-03,absolute,Abs Min (Green),795.0,69072816.1055717,0.6062161942336778,24.577021789744375,24.58629726543438,20.940724189585783,1.224744871391589,-0.1191833703470549,-0.5678825378417969,8.031822516162267,1.7736941389858338,6.625,0.02294921875,946.7232317981961,0.10629726543437812,26.010333336889744,0.5036249966360629
2025-09-03,motion,Motion Track (Blue),795.0,57501566.81526624,0.6062161942336778,24.38727356301852,24.38442895632678,20.73282918082613,1.2224747213928164,0.08358395548036547,-0.5162334442138672,3.91834149516351,0.8653004135152752,6.625,0.0302734375,1248.8689440742162,-0.09557104367322111,26.010333336889744,0.5036249966360629
