band,mjd,ra,dec,altitude,moon_illum_pct,moon_up,moon_sep,sky_bg,zero_point,mag_lim,airmass,zp_band_median,delta_zp_from_band_median,dark_sky_model,sky_excess_mag,sky_flux_ratio_to_model,sky_flux_excess_over_model,is_moonlit,is_cloudyish,is_cloudy_moonlit
i,61045.36537680555,236.30696000873314,-33.3444307458047,30.723819732666016,94.97408218319462,True,111.42409392545551,21194.458984375,31.188751220703125,21.59981346130371,1.9513113498687744,31.966468811035156,0.7777175903320312,20.5,-21173.958984375,0.0,-1.0,True,True,True
y,61048.35458424769,114.7439448487229,7.263426079787216,29.518308639526367,72.25102817595328,True,56.78928144863863,4445.8310546875,30.16679573059082,20.823253631591797,2.0164809226989746,30.497295379638672,0.33049964904785156,18.6,-4427.2310546875,0.0,-1.0,True,True,True
y,60982.33779013889,93.58714296970804,-53.29314634164979,66.94478607177734,92.44913839433411,True,92.88112673850502,3183.99755859375,30.013154983520508,21.436626434326172,1.0864403247833252,30.497295379638672,0.48414039611816406,18.6,-3165.39755859375,0.0,-1.0,True,True,True
r,60982.00906953704,334.36772327801197,-45.37455613882924,74.99242401123047,90.90691176820458,True,55.94140185520226,5574.029296875,31.729324340820312,22.21595001220703,1.0351563692092896,32.17755126953125,0.4482269287109375,21.3,-5552.729296875,0.0,-1.0,True,True,True
i,60975.15421107639,5.756715250555783,-45.02850713555276,71.53845977783203,25.59236438033068,True,71.49012841285202,1815.95458984375,31.46630859375,23.42967987060547,1.0537818670272827,31.966468811035156,0.5001602172851562,20.5,-1795.45458984375,0.0,-1.0,True,True,True
r,60982.007449606484,333.78167762946134,-45.373879273206235,74.99242401123047,90.8993982565224,True,56.172032085911205,5738.671875,31.662677764892578,22.136165618896484,1.03515625,32.17755126953125,0.5148735046386719,21.3,-5717.371875,0.0,-1.0,True,True,True
r,60983.189672280096,40.68214133341158,-40.358525068667014,79.99330139160156,97.05384383112758,True,56.185678011430234,41233.078125,31.063426971435547,20.985637664794922,1.0153712034225464,32.17755126953125,1.1141242980957031,21.3,-41211.778125,0.0,-1.0,True,True,True
i,60975.15993125,9.435109734476566,-53.489103657076285,65.11397552490234,25.64615198762159,True,70.67969795961127,1824.3956298828125,31.460922241210938,23.361621856689453,1.1017217636108398,31.966468811035156,0.5055465698242188,20.5,-1803.8956298828125,0.0,-1.0,True,True,True
z,61069.047222152774,352.24242908755235,-38.92222954990345,24.280832290649414,80.60430433178611,True,102.34324584042737,3702.776611328125,30.740575790405273,21.991981506347656,2.410388231277466,31.58596897125244,0.845393180847168,19.6,-3683.176611328125,0.0,-1.0,True,True,True
i,61045.3548066088,239.3193876930039,-44.01901873695707,28.666500091552734,95.00870164075594,True,115.36244274159648,5074.6689453125,31.18808364868164,22.142057418823242,2.0765931606292725,31.966468811035156,0.7783851623535156,20.5,-5054.1689453125,0.0,-1.0,True,True,True
z,61010.04323027778,11.675935349849267,-15.382906874224053,74.77936553955078,78.77669079355358,True,23.722033511430748,5443.89599609375,30.835512161254883,22.159513473510742,1.0360389947891235,31.58596897125244,0.7504568099975586,19.6,-5424.29599609375,0.0,-1.0,True,True,True
i,60985.05522462963,353.86418077954903,-60.39179810381847,59.988407135009766,99.31731239974586,True,94.05492381913952,13474.91015625,31.502647399902344,22.149578094482422,1.154152750968933,31.966468811035156,0.4638214111328125,20.5,-13454.41015625,0.0,-1.0,True,True,True
z,61069.04748744213,350.8971810729813,-41.77487817704539,24.22754669189453,80.60578381135403,True,104.53466797096671,3679.904296875,30.739028930664062,21.972789764404297,2.415435552597046,31.58596897125244,0.8469400405883789,19.6,-3660.304296875,0.0,-1.0,True,True,True
y,61048.35553043982,109.88466940625474,8.535753178487358,24.74724006652832,72.24567482702344,True,61.63478322269341,4518.2451171875,30.065839767456055,20.614810943603516,2.367365598678589,30.497295379638672,0.4314556121826172,18.6,-4499.6451171875,0.0,-1.0,True,True,True
i,61005.15654217592,35.78801882056299,-46.93964597397412,69.86965942382812,28.300798807680007,True,71.81213522615579,1932.6939697265625,31.320709228515625,22.664148330688477,1.0643547773361206,31.966468811035156,0.6457595825195312,20.5,-1912.1939697265625,0.0,-1.0,True,True,True
r,61014.245326840275,57.244559838810794,-25.940178702235606,59.62192916870117,99.62898973423,True,57.11096417446064,30386.78125,31.698692321777344,21.995731353759766,1.157375693321228,32.17755126953125,0.47885894775390625,21.3,-30365.48125,0.0,-1.0,True,True,True
r,61052.32122196759,166.39417315447082,-58.85957482129956,60.43195724487305,33.949983231560864,True,53.998244388777756,663.7224731445312,31.453678131103516,23.933982849121094,1.148844599723816,32.17755126953125,0.7238731384277344,21.3,-642.4224731445313,1.0740159775838366e-257,-1.0,True,True,True
r,60982.01542534722,336.66686364359106,-45.37708041711509,74.99242401123047,90.9361643258733,True,55.071580505914,5452.5810546875,31.875587463378906,22.276424407958984,1.03515625,32.17755126953125,0.30196380615234375,21.3,-5431.2810546875,0.0,-1.0,True,True,True
i,61006.012212546295,22.09827768920721,-28.38266625993981,70.10433959960938,36.56867560200764,True,56.278965067640456,37278.5859375,31.4702091217041,21.28369903564453,1.0635372400283813,31.966468811035156,0.4962596893310547,20.5,-37258.0859375,0.0,-1.0,True,True,True
i,60985.05480421296,353.86452749553854,-60.39179798189502,59.98886489868164,99.31800927336486,True,94.05040963289231,14569.654296875,31.43561363220215,22.008466720581055,1.1541497707366943,31.966468811035156,0.5308551788330078,20.5,-14549.154296875,0.0,-1.0,True,True,True
r,61021.285166539354,77.35977993199656,-25.89417666764031,58.60678482055664,45.44342811135784,True,97.94643811039236,470.35284423828125,30.983505249023438,23.365276336669922,1.1700607538223267,32.17755126953125,1.1940460205078125,21.3,-449.05284423828124,2.392557063541988e-180,-1.0,True,True,True
i,61045.36161288194,236.30717905277703,-33.34443184981176,29.647075653076172,94.98651158521653,True,111.46417906686193,10562.62109375,31.189205169677734,21.996997833251953,2.0147922039031982,31.966468811035156,0.7772636413574219,20.5,-10542.12109375,0.0,-1.0,True,True,True
r,60983.17696936343,36.47931973381567,-80.3760613588877,39.98149490356445,97.02192585481498,True,92.84066928392917,14381.8828125,31.742183685302734,21.65657615661621,1.552917242050171,32.17755126953125,0.4353675842285156,21.3,-14360.5828125,0.0,-1.0,True,True,True
i,60975.156085243056,11.083006399247106,-48.14146677646879,70.75762939453125,25.609905552803447,True,73.68612885280119,1808.33203125,31.354936599731445,23.438922882080078,1.058762788772583,31.966468811035156,0.6115322113037109,20.5,-1787.83203125,0.0,-1.0,True,True,True
i,61045.362465983795,239.24833882171876,-40.94723348693355,29.85842514038086,94.98370451991687,True,114.93226315048432,12584.7900390625,31.18705940246582,21.912900924682617,2.001690149307251,31.966468811035156,0.7794094085693359,20.5,-12564.2900390625,0.0,-1.0,True,True,True
z,61010.03886784722,11.676176326244708,-15.382915688666607,74.95745849609375,78.75077002857867,True,23.693302907459863,5544.962890625,30.821287155151367,21.887535095214844,1.0351955890655518,31.58596897125244,0.7646818161010742,19.6,-5525.362890625,0.0,-1.0,True,True,True
y,61048.36059238426,111.51128425012168,3.2586362112424934,27.828445434570312,72.21706218299167,True,60.06469508254764,4325.0732421875,30.165618896484375,20.893146514892578,2.126352548599243,30.497295379638672,0.3316764831542969,18.6,-4306.4732421875,0.0,-1.0,True,True,True
r,61021.28566079861,77.35980284346039,-25.894175564707343,58.45268249511719,45.43945074581055,True,97.94902137930394,935.1513061523438,31.735429763793945,23.72649574279785,1.1717573404312134,32.17755126953125,0.4421215057373047,21.3,-913.8513061523438,0.0,-1.0,True,True,True
i,61005.15411376157,34.90912671245184,-46.94084895396801,69.86949157714844,28.276722053838064,True,71.23379378823303,1927.35400390625,31.15473747253418,22.269840240478516,1.0643551349639893,31.966468811035156,0.8117313385009766,20.5,-1906.85400390625,0.0,-1.0,True,True,True
r,61046.26188534722,73.83562798817464,4.7092091588063045,26.839710235595703,89.36756379504736,True,72.05128211570604,2481.796875,30.91131019592285,22.384864807128906,2.199450969696045,32.17755126953125,1.2662410736083984,21.3,-2460.496875,0.0,-1.0,True,True,True
z,61069.045882673614,357.2523922567218,-27.528462607726684,24.379051208496094,80.59683296033609,True,93.11608563869945,3754.43212890625,30.738296508789062,21.979480743408203,2.401101589202881,31.58596897125244,0.8476724624633789,19.6,-3734.83212890625,0.0,-1.0,True,True,True
r,61021.28596454861,77.35960186477774,-25.89412137555499,58.3577766418457,45.43700903728502,True,97.95080246669048,233.43666076660156,30.232988357543945,22.974651336669922,1.173275113105774,32.17755126953125,1.9445629119873047,21.3,-212.13666076660155,1.397448118722622e-85,-1.0,True,True,True
i,60985.056423518516,354.2988405895508,-60.39194954810294,59.988407135009766,99.31532633540274,True,93.90823546591429,19314.0,31.2449951171875,21.681856155395508,1.154152750968933,31.966468811035156,0.7214736938476562,20.5,-19293.5,0.0,-1.0,True,True,True
y,60981.12268267361,2.078652052576103,-54.507896433760884,64.2521743774414,83.6980925866572,True,52.919250290247355,1254.234619140625,29.307222366333008,20.771514892578125,1.109661340713501,30.497295379638672,1.190073013305664,18.6,-1235.634619140625,0.0,-1.0,True,True,True
i,61039.06851884259,104.09967921785314,-19.65741760888243,42.22874069213867,74.59031859270196,True,79.14366042085092,3804.63330078125,31.118633270263672,22.029396057128906,1.4868717193603516,31.966468811035156,0.8478355407714844,20.5,-3784.13330078125,0.0,-1.0,True,True,True
r,61043.054567141204,26.12116675244882,-31.77077372893166,68.5402603149414,99.6363435714447,True,91.59988725430726,2794.404296875,31.44681739807129,22.99237060546875,1.0735958814620972,32.17755126953125,0.7307338714599609,21.3,-2773.104296875,0.0,-1.0,True,True,True
r,60982.08128259259,343.28834451512813,-45.19989544544756,69.90730285644531,91.22314885617102,True,53.17376836183376,1918.79931640625,30.97981834411621,22.704654693603516,1.0643833875656128,32.17755126953125,1.197732925415039,21.3,-1897.49931640625,0.0,-1.0,True,True,True
r,61046.25639417824,73.83529720612857,4.709109822223153,28.398874282836914,89.39064063047446,True,72.00973670179914,2344.86181640625,30.916095733642578,22.325511932373047,2.089428663253784,32.17755126953125,1.2614555358886719,21.3,-2323.56181640625,0.0,-1.0,True,True,True
i,61040.168814791665,120.47707592526376,-25.78897169507834,62.352909088134766,84.71732744794048,True,84.85441720239243,1385.16162109375,31.198598861694336,22.885982513427734,1.1285512447357178,31.966468811035156,0.7678699493408203,20.5,-1364.66162109375,0.0,-1.0,True,True,True
i,61040.1916759838,131.3285218621127,-25.76692678024114,60.10176467895508,84.85407222350912,True,93.31994985249938,2666.1025390625,31.363597869873047,22.658653259277344,1.1534149646759033,31.966468811035156,0.6028709411621094,20.5,-2645.6025390625,0.0,-1.0,True,True,True
i,61006.03219670139,27.61464599368251,-28.377145395951008,71.576416015625,36.70994195754217,True,61.02743645038738,1344.450439453125,31.2425537109375,23.545181274414062,1.0539369583129883,31.966468811035156,0.7239151000976562,20.5,-1323.950439453125,0.0,-1.0,True,True,True
i,61045.36105432871,236.79916795955637,-27.266373995511675,26.993127822875977,94.98834629742905,True,110.60145327285352,10756.548828125,31.15896987915039,21.689176559448242,2.1940884590148926,31.966468811035156,0.8074989318847656,20.5,-10736.048828125,0.0,-1.0,True,True,True
y,61040.18556657407,128.90680768891386,-25.771584238470478,60.29014587402344,84.81689650145624,True,91.40972765839922,2174.328857421875,29.96289825439453,21.228498458862305,1.1512484550476074,30.497295379638672,0.5343971252441406,18.6,-2155.728857421875,0.0,-1.0,True,True,True
i,61040.03307050926,74.06607840025893,-25.900798337360158,60.12064743041992,83.98021384739532,True,55.56586070459383,19440.626953125,31.261451721191406,21.069650650024414,1.1532635688781738,31.966468811035156,0.70501708984375,20.5,-19420.126953125,0.0,-1.0,True,True,True
z,61069.04421422454,354.76530571666154,-41.25988171825351,27.649396896362305,80.58752324581158,True,101.69438749800057,3535.220947265625,30.751399993896484,22.058443069458008,2.1399526596069336,31.58596897125244,0.834568977355957,19.6,-3515.620947265625,0.0,-1.0,True,True,True
r,61046.26075006944,73.83542548616393,4.709204863115029,27.163320541381836,89.37232689437971,True,72.04283860798657,2451.71533203125,30.923999786376953,22.538616180419922,2.175499677658081,32.17755126953125,1.2535514831542969,21.3,-2430.41533203125,0.0,-1.0,True,True,True
