band,mjd,ra,dec,altitude,moon_illum_pct,moon_up,moon_sep,sky_bg,zero_point,mag_lim,airmass,zp_band_median,delta_zp_from_band_median,dark_sky_model,sky_excess_mag,sky_flux_ratio_to_model,sky_flux_excess_over_model,is_moonlit,is_cloudyish,is_cloudy_moonlit
i,61041.200155555554,29.31587755392965,-20.52997399067173,24.86296272277832,92.43504245171084,True,59.88267065116187,7968.083984375,31.912757873535156,22.71674346923828,2.3559772968292236,31.966468811035156,0.0537109375,20.5,-7947.583984375,0.0,-1.0,True,False,False
g,61051.108285636576,62.28079699654367,19.29335969140342,38.04555130004883,45.31946125763373,False,141.53165242145215,660.9948120117188,32.17119598388672,24.314958572387695,1.6172935962677002,32.23981475830078,0.0686187744140625,22.2,-638.7948120117187,3.0344165285317983e-256,-1.0,False,False,False
z,61012.29107277778,79.64162432681587,-40.21541607537331,66.3700180053711,95.28568880759983,True,71.16605336189983,4130.626953125,31.589744567871094,23.176776885986328,1.090427279472351,31.58596897125244,-0.0037755966186523438,19.6,-4111.026953125,0.0,-1.0,True,False,False
y,61069.139817650466,71.66724092629114,-69.89294729319239,45.475257873535156,81.13397676193115,True,98.7490254230336,3342.987548828125,30.290592193603516,21.592350006103516,1.399369239807129,30.497295379638672,0.20670318603515625,18.6,-3324.387548828125,0.0,-1.0,True,False,False
r,61050.087700185184,9.1759920578687,-44.05849941366762,40.75497055053711,55.176587052812465,False,128.64818612395163,887.3883666992188,32.133201599121094,23.99041175842285,1.5261156558990479,32.17755126953125,0.04434967041015625,21.3,-866.0883666992188,0.0,-1.0,False,False,False
i,61026.24551984954,60.754938733452775,-33.60341032355982,53.92735290527344,6.981492401722283,False,122.80225225036106,1461.06201171875,31.9656982421875,23.97075653076172,1.2347640991210938,31.966468811035156,0.00077056884765625,20.5,-1440.56201171875,0.0,-1.0,False,False,False
y,61049.278696712965,151.95567790176423,-45.82015183358949,70.89525604248047,63.118992977185904,True,50.730725964845085,3077.03173828125,30.484291076660156,21.803401947021484,1.0580637454986572,30.497295379638672,0.013004302978515625,18.6,-3058.43173828125,0.0,-1.0,True,False,False
g,61091.33932215278,171.69069921309685,-48.58539709713985,60.9659309387207,9.512222446615077,False,135.2776070750299,839.550048828125,28.639780044555664,20.835493087768555,1.142229437828064,32.23981475830078,3.600034713745117,22.2,-817.350048828125,0.0,-1.0,False,True,False
i,60975.25488900463,56.31321673726036,-60.335964004816795,59.98838806152344,26.639410692216746,False,86.32513602055329,1818.709228515625,29.384017944335938,20.91695213317871,1.1541529893875122,31.966468811035156,2.5824508666992188,20.5,-1798.209228515625,0.0,-1.0,False,True,False
g,61001.07319596065,71.91606410460554,-49.83577687772113,44.579898834228516,2.796949668625043,False,102.66092202901496,485.9400939941406,32.203372955322266,24.460840225219727,1.4230945110321045,32.23981475830078,0.036441802978515625,22.2,-463.74009399414064,3.1912615698742945e-186,-1.0,False,False,False
i,61001.31456107639,69.58071697316394,-25.913954933606206,59.75142288208008,3.885828318003731,False,125.52245555794991,2126.419921875,31.972740173339844,23.735733032226562,1.1558582782745361,31.966468811035156,-0.0062713623046875,20.5,-2105.919921875,0.0,-1.0,False,False,False
y,61043.254929965275,135.8737960142114,-76.83932422949495,42.96558380126953,99.74040756696975,True,107.24338462970474,5517.5810546875,30.5478458404541,21.674802780151367,1.4643152952194214,30.497295379638672,-0.05055046081542969,18.6,-5498.9810546875,0.0,-1.0,True,False,False
r,61021.062283402774,32.48166121611325,-80.37847190772257,39.98149108886719,47.805372047215535,False,100.1705563812463,1067.27587890625,32.14448547363281,24.097972869873047,1.5525450706481934,32.17755126953125,0.0330657958984375,21.3,-1045.97587890625,0.0,-1.0,False,False,False
g,60987.24457167824,63.763563616100726,-0.3047286948986357,59.98887634277344,88.90489540210764,True,34.882226502409885,9532.7705078125,32.274314880371094,22.98871612548828,1.1542229652404785,32.23981475830078,-0.0345001220703125,22.2,-9510.5705078125,0.0,-1.0,True,False,False
z,61048.323942662035,124.4651636416942,-18.48952062684255,61.36925506591797,72.42604383996144,True,51.05893632164368,3572.846923828125,31.540956497192383,22.67159652709961,1.1377623081207275,31.58596897125244,0.045012474060058594,19.6,-3553.246923828125,0.0,-1.0,True,False,False
g,61033.32187796296,122.29516983862905,-18.614529237469508,71.81163787841797,16.65019523892008,False,140.0034417943709,507.8894958496094,32.2923698425293,24.964025497436523,1.051833152770996,32.23981475830078,-0.052555084228515625,22.2,-485.6894958496094,5.299094447497567e-195,-1.0,False,False,False
y,61088.292033020836,160.8963950577347,-81.40900300514168,38.102535247802734,0.031940791876622354,False,84.96718433702465,4869.115234375,30.5324764251709,21.823026657104492,1.6157281398773193,30.497295379638672,-0.03518104553222656,18.6,-4850.515234375,0.0,-1.0,False,False,False
r,61088.200491180556,158.92134394722368,-54.46711806967237,64.4519271850586,0.09180210554390889,False,110.89455918977504,987.4057006835938,32.22425079345703,24.556774139404297,1.1077879667282104,32.17755126953125,-0.04669952392578125,21.3,-966.1057006835938,0.0,-1.0,False,False,False
z,61046.19541569444,73.00886830108688,-65.79796845469313,49.41265106201172,89.65756269655974,True,97.84510521957509,3011.58740234375,31.60216522216797,23.276775360107422,1.314279556274414,31.58596897125244,-0.016196250915527344,19.6,-2991.98740234375,0.0,-1.0,True,False,False
i,61026.2468841088,61.84951475956794,-39.146988824470206,54.657047271728516,6.97314014352382,False,117.18827276244076,1425.6307373046875,31.963470458984375,24.035606384277344,1.2236506938934326,31.966468811035156,0.00299835205078125,20.5,-1405.1307373046875,0.0,-1.0,False,False,False
r,61056.322790729166,117.84697437732504,-55.49037772116552,50.55681228637695,5.765395979040921,True,92.89948648175358,935.697021484375,32.16747283935547,24.172584533691406,1.2923376560211182,32.17755126953125,0.01007843017578125,21.3,-914.397021484375,0.0,-1.0,False,False,False
r,61013.22538173611,60.13105539417937,-28.322609233590338,69.7560806274414,98.85864833738054,True,54.39248025205537,8089.29296875,32.20200729370117,23.417882919311523,1.0648983716964722,32.17755126953125,-0.024456024169921875,21.3,-8067.99296875,0.0,-1.0,True,False,False
r,60983.04022618056,346.6166932121714,-50.386326984616545,69.99134063720703,96.66513859608827,True,67.19519888499089,5892.455078125,32.1707763671875,23.145971298217773,1.0639617443084717,32.17755126953125,0.00677490234375,21.3,-5871.155078125,0.0,-1.0,True,False,False
i,61039.2873619213,70.15394816713919,-25.064072041372956,36.24773406982422,76.29955825124726,False,55.74043617041511,1675.3365478515625,31.914772033691406,23.789264678955078,1.6833630800247192,31.966468811035156,0.05169677734375,20.5,-1654.8365478515625,0.0,-1.0,False,False,False
g,60996.11054642361,2.3446210936905376,-32.27971378072776,70.57219696044922,8.8748045720702,False,135.3619040970875,528.7179565429688,32.259735107421875,24.45435905456543,1.0596734285354614,32.23981475830078,-0.01992034912109375,22.2,-506.51795654296876,2.4706850242279385e-203,-1.0,False,False,False
r,61020.04196966435,23.700452691181702,-60.38121415561094,59.98838806152344,58.064806783231745,False,119.56540801656865,1175.0712890625,32.19157409667969,24.27408218383789,1.1538987159729004,32.17755126953125,-0.0140228271484375,21.3,-1153.7712890625,0.0,-1.0,False,False,False
y,61050.16298984954,76.4717593095506,-12.458223647358583,63.841976165771484,54.336528122633446,False,113.23148966486016,2216.6552734375,30.447717666625977,22.132299423217773,1.1128181219100952,30.497295379638672,0.04957771301269531,18.6,-2198.0552734375,0.0,-1.0,False,False,False
r,61056.36418130787,158.1307599707098,-67.75278281301424,50.93794631958008,5.572961724278446,True,71.6025492280225,1329.080078125,32.16584014892578,24.109634399414062,1.2859300374984741,32.17755126953125,0.01171112060546875,21.3,-1307.780078125,0.0,-1.0,False,False,False
i,61041.36042009259,241.24507213035872,-52.21004240484635,28.244186401367188,93.25767254146977,False,154.87313312579613,8903.3203125,31.157737731933594,21.90290069580078,2.1039412021636963,31.966468811035156,0.8087310791015625,20.5,-8882.8203125,0.0,-1.0,False,True,False
r,61012.166448206015,81.2849684802623,-25.177859402010277,71.36283111572266,94.8309755228009,True,60.89633378414289,5120.7001953125,32.206329345703125,23.493408203125,1.0554054975509644,32.17755126953125,-0.028778076171875,21.3,-5099.4001953125,0.0,-1.0,True,False,False
r,61021.07534326389,36.87628822690443,-50.36336745966039,69.99129486083984,47.63817693858303,False,119.72611980994881,788.071044921875,32.199989318847656,24.564340591430664,1.0637840032577515,32.17755126953125,-0.02243804931640625,21.3,-766.771044921875,1.9569603714000524e-307,-1.0,False,False,False
y,61050.18600770833,103.84461532933442,12.647181220345354,47.11919021606445,54.10504246787677,True,90.58505946010224,2543.92236328125,30.433258056640625,22.004592895507812,1.3623416423797607,30.497295379638672,0.06403732299804688,18.6,-2525.32236328125,0.0,-1.0,True,False,False
y,61049.18435255787,94.39363458417678,-0.7813278083768233,59.20576477050781,63.865444742971114,True,87.19848716374159,3438.45703125,30.49660873413086,21.723834991455078,1.1628977060317993,30.497295379638672,0.0006866455078125,18.6,-3419.85703125,0.0,-1.0,True,False,False
r,60983.32682609954,56.262771631765375,-25.944177945964807,59.7540397644043,97.43670647322872,True,52.23635854195267,7429.1533203125,32.09836959838867,22.628591537475586,1.1560814380645752,32.17755126953125,0.07918167114257812,21.3,-7407.8533203125,0.0,-1.0,True,False,False
i,61041.237163275466,108.09804310652478,5.468490615427,53.72153854370117,92.6001355209718,True,45.24857772386729,5636.6259765625,31.983840942382812,23.308530807495117,1.238824725151062,31.966468811035156,-0.01737213134765625,20.5,-5616.1259765625,0.0,-1.0,True,False,False
y,60987.25474476852,67.58625087806492,-0.2960165430954414,59.99185562133789,88.85620379244634,True,33.12551344909177,7425.603515625,30.569599151611328,21.398256301879883,1.1541929244995117,30.497295379638672,-0.07230377197265625,18.6,-7407.003515625,0.0,-1.0,True,False,False
r,61028.34324549769,137.6249253730426,9.846972915913522,49.922908782958984,0.5546706325419093,False,121.88544989217186,1143.095458984375,32.16469955444336,24.222026824951172,1.3050860166549683,32.17755126953125,0.012851715087890625,21.3,-1121.795458984375,0.0,-1.0,False,False,False
z,61029.35848086805,220.35779532495462,-30.960349326285204,28.125436782836914,0.23920127921277512,False,45.044677328052316,6159.9296875,30.74993133544922,21.65129852294922,2.113271951675415,31.58596897125244,0.8360376358032227,19.6,-6140.3296875,0.0,-1.0,False,True,False
i,61058.23895247685,130.0209232626699,-4.195923813763685,63.94709396362305,0.3826089232543517,False,146.827699479835,1206.7423095703125,31.973854064941406,24.0568904876709,1.1123391389846802,31.966468811035156,-0.00738525390625,20.5,-1186.2423095703125,0.0,-1.0,False,False,False
g,61034.23706709491,80.35446247391201,-46.53866405891359,62.9761962890625,23.808954134035652,False,93.2969828157766,549.341796875,32.27137756347656,24.744916915893555,1.1212570667266846,32.23981475830078,-0.03156280517578125,22.2,-527.141796875,1.3908530589249759e-211,-1.0,False,False,False
i,60988.270725173614,81.25578624851295,-77.16052695798349,43.032569885253906,80.24509174689068,True,106.4054992694625,3760.4189453125,31.93524169921875,23.011154174804688,1.4628065824508667,31.966468811035156,0.03122711181640625,20.5,-3739.9189453125,0.0,-1.0,True,False,False
g,60998.14576575231,31.571405890921188,-51.49298354380999,68.01319122314453,1.2937814831622152,False,108.52022484237423,509.88946533203125,32.055320739746094,24.322101593017578,1.0779719352722168,32.23981475830078,0.1844940185546875,22.2,-487.68946533203126,8.398734782084085e-196,-1.0,False,False,False
i,61007.21913230324,100.21079749561672,-36.357472259507574,68.22952270507812,48.73829822966431,False,110.01065847253632,2420.84521484375,31.987659454345703,23.914703369140625,1.0767722129821777,31.966468811035156,-0.021190643310546875,20.5,-2400.34521484375,0.0,-1.0,False,False,False
