band,mjd,ra,dec,altitude,moon_illum_pct,moon_up,sky_bg,zero_point
i,60976.00688903935,339.2390149139688,-29.871528843184777,80.10569763183594,33.279621682502025,True,3422.632080078125,31.95206642150879
i,60976.007309444445,339.239039906975,-29.87152859808496,80.23678588867188,33.28226524060261,True,3337.21044921875,31.939128875732422
i,60976.00825825232,339.7341671892211,-29.871993649610786,80.10546112060547,33.288242987871186,True,3187.400146484375,31.94921875
i,60976.008678819446,339.73413747088574,-29.87199341756725,80.23664855957031,33.29089780480319,True,3126.7353515625,31.94870376586914
i,60976.00945266204,340.16566572416394,-29.872390249204777,80.10564422607422,33.29579093241194,True,3050.1904296875,31.94841957092285
i,60976.00987311343,340.1656570126844,-29.872390136410342,80.23677062988281,33.29845402005818,True,3025.3671875,31.966869354248047
i,60976.01070266204,340.6179223649043,-29.872779401365946,80.1052474975586,33.30371762631895,True,2947.02197265625,31.959379196166992
i,60976.011123055556,340.6178863049386,-29.872797679037237,80.23638916015625,33.30638983716619,True,2925.116943359375,31.970596313476562
i,60976.01195476852,341.0700629749229,-29.87319743039325,80.1056137084961,33.31168603837701,True,2902.970947265625,31.96310806274414
i,60976.01237497685,341.0700352418632,-29.873197008256504,80.23668670654297,33.314366644756696,True,2895.2548828125,31.969701766967773
i,60976.013142233794,341.49964286496447,-29.873568987540885,80.10528564453125,33.31926949105983,True,2869.0341796875,31.966144561767578
i,60976.01356290509,341.4996010013865,-29.873568725533794,80.23651885986328,33.321962208191835,True,2850.7646484375,31.971935272216797
i,60976.01440454861,341.95308663046495,-29.87395293681448,80.10771179199219,33.327359359084994,True,2840.8720703125,31.974403381347656
i,60976.01482497685,341.95310696555464,-29.873952499955394,80.23881530761719,33.33006031667092,True,2818.280029296875,31.975261688232422
i,60976.0166228588,341.95316116208113,-29.873952033014334,80.79944610595703,33.34164753853239,True,2807.364990234375,31.9693546295166
i,60976.01765076389,343.1283946618617,-29.874907967732398,80.10601806640625,33.348299491757516,True,2760.80810546875,31.963359832763672
i,60976.01807125,343.12846704041795,-29.874908002884354,80.2370834350586,33.351026345958786,True,2752.81298828125,31.964645385742188
i,60976.01891105324,343.58392558873066,-29.875263575442368,80.10601806640625,33.356482478109285,True,2744.69580078125,31.963756561279297
